Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[cell type]	Characteristics[FACS marker]	Characteristics[organism part]	Characteristics[stimulus]	Characteristics[inferred cell type]	Characteristics[plate identity]	Characteristics[run id]	Characteristics[single cell well quality]	Characteristics[post analysis well quality]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[single cell isolation]	Comment[spike in]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[single cell identifier]	Factor Value[cell type]	Factor Value[FACS marker]	Factor Value[organism part]	Factor Value[stimulus]	Factor Value[inferred cell type]
23971_#1	ERS3961055	SAMEA6161044	Homo sapiens	adult	normal	control_well	control_well	control_well	control_well	not available	CF03YBYA	23971	not OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#1	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#1	sequencing assay	ERX3640691	23971_1_R1.fastq.gz	23971_1_R1.fastq.gz	ERR3648607	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/007/ERR3648607/ERR3648607_1.fastq.gz	cell23971_1	control_well	control_well	control_well	control_well	not available
23971_#1	ERS3961055	SAMEA6161044	Homo sapiens	adult	normal	control_well	control_well	control_well	control_well	not available	CF03YBYA	23971	not OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#1	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#1	sequencing assay	ERX3640691	23971_1_R2.fastq.gz	23971_1_R2.fastq.gz	ERR3648607	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/007/ERR3648607/ERR3648607_2.fastq.gz	cell23971_1	control_well	control_well	control_well	control_well	not available
23971_#10	ERS3961056	SAMEA6161045	Homo sapiens	adult	normal	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	monocyte	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#10	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#10	sequencing assay	ERX3640692	23971_10_R1.fastq.gz	23971_10_R1.fastq.gz	ERR3648608	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/008/ERR3648608/ERR3648608_1.fastq.gz	cell23971_10	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	monocyte
23971_#10	ERS3961056	SAMEA6161045	Homo sapiens	adult	normal	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	monocyte	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#10	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#10	sequencing assay	ERX3640692	23971_10_R2.fastq.gz	23971_10_R2.fastq.gz	ERR3648608	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/008/ERR3648608/ERR3648608_2.fastq.gz	cell23971_10	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	monocyte
23971_#100	ERS3961057	SAMEA6161046	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	house dust mite extract	plasmacytoid dendritic cell	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#100	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#100	sequencing assay	ERX3640693	23971_100_R1.fastq.gz	23971_100_R1.fastq.gz	ERR3648609	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/009/ERR3648609/ERR3648609_1.fastq.gz	cell23971_100	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	house dust mite extract	plasmacytoid dendritic cell
23971_#100	ERS3961057	SAMEA6161046	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	house dust mite extract	plasmacytoid dendritic cell	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#100	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#100	sequencing assay	ERX3640693	23971_100_R2.fastq.gz	23971_100_R2.fastq.gz	ERR3648609	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/009/ERR3648609/ERR3648609_2.fastq.gz	cell23971_100	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	house dust mite extract	plasmacytoid dendritic cell
23971_#101	ERS3961058	SAMEA6161047	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	house dust mite extract	activated dendritic cell	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#101	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#101	sequencing assay	ERX3640694	23971_101_R1.fastq.gz	23971_101_R1.fastq.gz	ERR3648610	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/000/ERR3648610/ERR3648610_1.fastq.gz	cell23971_101	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	house dust mite extract	activated dendritic cell
23971_#101	ERS3961058	SAMEA6161047	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	house dust mite extract	activated dendritic cell	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#101	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#101	sequencing assay	ERX3640694	23971_101_R2.fastq.gz	23971_101_R2.fastq.gz	ERR3648610	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/000/ERR3648610/ERR3648610_2.fastq.gz	cell23971_101	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	house dust mite extract	activated dendritic cell
23971_#102	ERS3961059	SAMEA6161048	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	house dust mite extract	plasmacytoid dendritic cell	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#102	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#102	sequencing assay	ERX3640695	23971_102_R1.fastq.gz	23971_102_R1.fastq.gz	ERR3648611	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/001/ERR3648611/ERR3648611_1.fastq.gz	cell23971_102	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	house dust mite extract	plasmacytoid dendritic cell
23971_#102	ERS3961059	SAMEA6161048	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	house dust mite extract	plasmacytoid dendritic cell	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#102	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#102	sequencing assay	ERX3640695	23971_102_R2.fastq.gz	23971_102_R2.fastq.gz	ERR3648611	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/001/ERR3648611/ERR3648611_2.fastq.gz	cell23971_102	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	house dust mite extract	plasmacytoid dendritic cell
