Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[developmental stage],Characteristics[disease],Characteristics[cell type],Characteristics[FACS marker],Characteristics[organism part],Characteristics[stimulus],Characteristics[inferred cell type],Characteristics[plate identity],Characteristics[run id],Characteristics[single cell well quality],Characteristics[post analysis well quality],Material Type,Protocol REF,Protocol REF_1,Protocol REF_2,Protocol REF_3,Extract Name,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[NOMINAL_LENGTH],Comment[NOMINAL_SDEV],Comment[ORIENTATION],Comment[end bias],Comment[input molecule],Comment[library construction],Comment[primer],Comment[single cell isolation],Comment[spike in],Protocol REF_4,Performer,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Comment[ENA_RUN],Factor Value[single cell identifier],Factor Value[cell type],Factor Value[FACS marker],Factor Value[organism part],Factor Value[stimulus],Factor Value[inferred cell type],cellID,cellType,cellPart,stimulus,nGene,nUMI,Plate.identity,Well,V1,SANGER.SAMPLE.ID,SAMPLE.DESCRIPTION,original_label,id_run,sample_common_name,study,num_processed,num_mapped,percent_mapped,perc_ERCC,perc_mt,n_genes,log10_reads,tissue,treat,tissue_treat,cell_type,dim1_remTot,dim2_remTot,cc_phase,dbscan_cl,rskc_cl,rskc_subcl,db_rskc_subcl,rf_DCs,ct_simp,n_genes_sub,rn,All.Events..Events,All.Events.CD1a_APC.633.660.20.A.Median,All.Events.CD1c_AF700.633.730.45.A.Median,All.Events.CD14_APCCy7.633.780.60.A.Median,All.Events.ECAD_fitc.488.530.30.A.Median,All.Events.CD11b_PerCP.488.670.30.A.Median,All.Events.BDCA4_PE.561.585.15.A.Median,All.Events.CD86_Dazzle.561.610.20.A.Median,All.Events.CD123_PECy7.561.780.60.A.Median,All.Events.CD11c_BV421.405.450.50.A.Median,All.Events.Aqua.405.525.50.A.Median,All.Events.CD3_BV650.405.660.20.A.Median,All.Events.HLADR_BV785.405.780.60.A.Median,CD1a_class,orig.ident,res.0.2,res.0.4,res.0.6,res.0.8,res.1,res.1.2,res.1.4,res.1.6,res.1.8,res.2,res.2.2,res.2.4,res.2.6,cl_coarse,ct_cluster_merg,cl_redone
24013_#22,ERS3961573,SAMEA6161562,Homo sapiens,adult,normal,dendritic cell,CD1a+ CD123Int BDCA2+,skin,none,activated dendritic cell,CF03YBY3,24013,OK,pass,cell,P-MTAB-90920,P-MTAB-90924,P-MTAB-90921,P-MTAB-90922,24013_#22,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,250,5'-3'-3'-5',none,polyA RNA,Smart-seq2,oligo-dT,FACS,ERCC,P-MTAB-90923,WSI Sequencing Facility,24013_#22,sequencing assay,ERX3641209,ERR3649125,cell24013_22,dendritic cell,CD1a+ CD123Int BDCA2+,skin,none,activated dendritic cell,cell24013_22,activated dendritic cell,skin,none,3164,465923.985562876,CF03YBY3,A10,24013_#22,4375STDY7083775,Single cell A10,CD1a+ CD123Int BDCA2+ cells_Nil,24013,Homo sapiens,House dust mite,584677,466081,79.71597993,4.2911e-4,0.140313327,1300,5.668459568,Skin,Untreated,NIL,CD1a+ CD123Int BDCA2+ cells,-9.295045992,6.761670083,G2M,cl1,cl6,cl6_subcl2_2,cl1_subcl2_1,DC1,pDC_CD123Int,1265,cell24013_22,1,17308,19236,3228,171,2328,1698,16452,17545,840,216,-589,39954,CD1a_p,cell24013,0,0,0,0,3,3,3,3,2,2,2,2,2,3,3,3
24013_#16,ERS3961506,SAMEA6161495,Homo sapiens,adult,normal,dendritic cell,CD1a- CD123Int BDCA2+,skin,none,activated dendritic cell,CF03YBY3,24013,OK,pass,cell,P-MTAB-90920,P-MTAB-90924,P-MTAB-90921,P-MTAB-90922,24013_#16,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,250,5'-3'-3'-5',none,polyA RNA,Smart-seq2,oligo-dT,FACS,ERCC,P-MTAB-90923,WSI Sequencing Facility,24013_#16,sequencing assay,ERX3641142,ERR3649058,cell24013_16,dendritic cell,CD1a- CD123Int BDCA2+,skin,none,activated dendritic cell,cell24013_16,activated dendritic cell,skin,none,4499,987681.302468448,CF03YBY3,A4,24013_#16,4375STDY7083769,Single cell A4,CD1a- CD123Int BDCA2+ cells_Nil,24013,Homo sapiens,House dust mite,1267605,987870,77.93200563,0,0.521761074,1905,5.994699764,Skin,Untreated,NIL,CD1a- CD123Int BDCA2+ cells,-11.02699266,7.323024464,G2M,cl1,cl6,cl6_subcl2_2,cl1_subcl2_1,DC1,pDC_CD123Int,1848,cell24013_16,1,89,2196,1029,95,2025,4135,36772,10789,1037,-63,-118,32653,CD1a_n,cell24013,0,0,0,0,3,3,3,3,2,2,2,2,2,3,3,3
24013_#18,ERS3961528,SAMEA6161517,Homo sapiens,adult,normal,dendritic cell,CD1a- CD123Int BDCA2+,skin,none,activated dendritic cell,CF03YBY3,24013,OK,pass,cell,P-MTAB-90920,P-MTAB-90924,P-MTAB-90921,P-MTAB-90922,24013_#18,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,250,5'-3'-3'-5',none,polyA RNA,Smart-seq2,oligo-dT,FACS,ERCC,P-MTAB-90923,WSI Sequencing Facility,24013_#18,sequencing assay,ERX3641164,ERR3649080,cell24013_18,dendritic cell,CD1a- CD123Int BDCA2+,skin,none,activated dendritic cell,cell24013_18,activated dendritic cell,skin,none,3574,277741.144755521,CF03YBY3,A6,24013_#18,4375STDY7083771,Single cell A6,CD1a- CD123Int BDCA2+ cells_Nil,24013,Homo sapiens,House dust mite,433389,277976,64.14006816,0,1.30606e-4,1307,5.4440073,Skin,Untreated,NIL,CD1a- CD123Int BDCA2+ cells,-6.789443932,7.379177281,G2M,cl1,cl6,cl6_subcl2_1,cl1_subcl2_2,DC1,pDC_CD123Int,1277,cell24013_18,1,46,-60,793,170,138,3813,-152,29087,-71,97,-198,1392,CD1a_n,cell24013,1,1,1,1,3,3,3,3,2,5,6,6,6,3,3,3
24013_#19,ERS3961539,SAMEA6161528,Homo sapiens,adult,normal,dendritic cell,CD1a+ CD123Int BDCA2+,skin,none,activated dendritic cell,CF03YBY3,24013,OK,pass,cell,P-MTAB-90920,P-MTAB-90924,P-MTAB-90921,P-MTAB-90922,24013_#19,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,250,5'-3'-3'-5',none,polyA RNA,Smart-seq2,oligo-dT,FACS,ERCC,P-MTAB-90923,WSI Sequencing Facility,24013_#19,sequencing assay,ERX3641175,ERR3649091,cell24013_19,dendritic cell,CD1a+ CD123Int BDCA2+,skin,none,activated dendritic cell,cell24013_19,activated dendritic cell,skin,none,4584,855848.104852364,CF03YBY3,A7,24013_#19,4375STDY7083772,Single cell A7,CD1a+ CD123Int BDCA2+ cells_Nil,24013,Homo sapiens,House dust mite,1086462,856400,78.82466207,0,0.428422045,1939,5.932676668,Skin,Untreated,NIL,CD1a+ CD123Int BDCA2+ cells,-10.69213117,6.451900033,G2M,cl1,cl6,cl6_subcl2_2,cl1_subcl2_1,DC1,pDC_CD123Int,1897,cell24013_19,1,2091,32271,780,184,1786,1104,11198,2899,1088,16,-319,72955,CD1a_p,cell24013,0,0,0,0,3,3,3,3,2,2,2,2,2,3,3,3
24013_#38,ERS3961750,SAMEA6161740,Homo sapiens,adult,normal,dendritic cell,CD1a- CD123Int BDCA2+,skin,none,activated dendritic cell,CF03YBY3,24013,OK,pass,cell,P-MTAB-90920,P-MTAB-90924,P-MTAB-90921,P-MTAB-90922,24013_#38,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,250,5'-3'-3'-5',none,polyA RNA,Smart-seq2,oligo-dT,FACS,ERCC,P-MTAB-90923,WSI Sequencing Facility,24013_#38,sequencing assay,ERX3641386,ERR3649302,cell24013_38,dendritic cell,CD1a- CD123Int BDCA2+,skin,none,activated dendritic cell,cell24013_38,activated dendritic cell,skin,none,5815,1139046.5365183,CF03YBY3,B2,24013_#38,4375STDY7083791,Single cell B2,CD1a- CD123Int BDCA2+ cells_Nil,24013,Homo sapiens,House dust mite,1394627,1139453,81.70306469,0,0.180058011,2445,6.056696402,Skin,Untreated,NIL,CD1a- CD123Int BDCA2+ cells,-11.52163024,6.499131448,G2M,cl1,cl6,cl6_subcl2_2,cl1_subcl2_1,DC1,pDC_CD123Int,2382,cell24013_38,1,251,4328,2433,35,173,1050,12860,1257,838,-46,-180,55139,CD1a_n,cell24013,0,0,0,0,3,3,3,3,2,2,2,2,2,3,3,3
24013_#39,ERS3961756,SAMEA6161746,Homo sapiens,adult,normal,dendritic cell,CD1a- CD123Int BDCA2+,skin,none,activated dendritic cell,CF03YBY3,24013,OK,pass,cell,P-MTAB-90920,P-MTAB-90924,P-MTAB-90921,P-MTAB-90922,24013_#39,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,250,5'-3'-3'-5',none,polyA RNA,Smart-seq2,oligo-dT,FACS,ERCC,P-MTAB-90923,WSI Sequencing Facility,24013_#39,sequencing assay,ERX3641392,ERR3649308,cell24013_39,dendritic cell,CD1a- CD123Int BDCA2+,skin,none,activated dendritic cell,cell24013_39,activated dendritic cell,skin,none,7151,635986.336528769,CF03YBY3,B3,24013_#39,4375STDY7083792,Single cell B3,CD1a- CD123Int BDCA2+ cells_Nil,24013,Homo sapiens,House dust mite,959075,637966,66.51888538,0.019750272,0.085079554,3052,5.804711687,Skin,Untreated,NIL,CD1a- CD123Int BDCA2+ cells,-7.951843759,4.100278642,G2M,cl1,cl6,cl6_subcl2_2,cl1_subcl2_1,DC1,pDC_CD123Int,2959,cell24013_39,1,581,11167,1006,-230,1860,4977,46375,12259,338,-74,-650,33195,CD1a_n,cell24013,0,0,0,0,2,2,2,2,3,3,3,3,3,2,3,3
24013_#40,ERS3961758,SAMEA6161748,Homo sapiens,adult,normal,dendritic cell,CD1a- CD123Int BDCA2+,skin,none,activated dendritic cell,CF03YBY3,24013,OK,pass,cell,P-MTAB-90920,P-MTAB-90924,P-MTAB-90921,P-MTAB-90922,24013_#40,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,250,5'-3'-3'-5',none,polyA RNA,Smart-seq2,oligo-dT,FACS,ERCC,P-MTAB-90923,WSI Sequencing Facility,24013_#40,sequencing assay,ERX3641394,ERR3649310,cell24013_40,dendritic cell,CD1a- CD123Int BDCA2+,skin,none,activated dendritic cell,cell24013_40,activated dendritic cell,skin,none,7719,1129504.20952157,CF03YBY3,B4,24013_#40,4375STDY7083793,Single cell B4,CD1a- CD123Int BDCA2+ cells_Nil,24013,Homo sapiens,House dust mite,1509090,1130278,74.89798488,0,0.300695949,3367,6.053185342,Skin,Untreated,NIL,CD1a- CD123Int BDCA2+ cells,-9.337478475,5.339110002,G2M,cl1,cl6,cl6_subcl2_2,cl1_subcl2_1,DC1,pDC_CD123Int,3285,cell24013_40,1,10,2049,853,69,298,810,10728,10476,639,43,-4,33597,CD1a_n,cell24013,0,0,0,0,3,3,3,3,2,2,2,2,2,3,3,3
24013_#41,ERS3961759,SAMEA6161749,Homo sapiens,adult,normal,dendritic cell,CD1a- CD123Int BDCA2+,skin,none,activated dendritic cell,CF03YBY3,24013,OK,pass,cell,P-MTAB-90920,P-MTAB-90924,P-MTAB-90921,P-MTAB-90922,24013_#41,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,250,5'-3'-3'-5',none,polyA RNA,Smart-seq2,oligo-dT,FACS,ERCC,P-MTAB-90923,WSI Sequencing Facility,24013_#41,sequencing assay,ERX3641395,ERR3649311,cell24013_41,dendritic cell,CD1a- CD123Int BDCA2+,skin,none,activated dendritic cell,cell24013_41,activated dendritic cell,skin,none,4417,727398.056484945,CF03YBY3,B5,24013_#41,4375STDY7083794,Single cell B5,CD1a- CD123Int BDCA2+ cells_Nil,24013,Homo sapiens,House dust mite,922220,727485,78.88410574,0,0.965899554,1571,5.861824036,Skin,Untreated,NIL,CD1a- CD123Int BDCA2+ cells,-10.14263402,7.202683524,G2M,cl1,cl6,cl6_subcl2_2,cl1_subcl2_1,DC1,pDC_CD123Int,1529,cell24013_41,1,244,4682,825,292,92,774,8314,4454,778,67,-301,28794,CD1a_n,cell24013,0,0,0,0,3,3,3,3,2,2,2,2,2,3,3,3
24013_#43,ERS3961761,SAMEA6161751,Homo sapiens,adult,normal,dendritic cell,CD1a+ CD123Int BDCA2+,skin,none,activated dendritic cell,CF03YBY3,24013,OK,pass,cell,P-MTAB-90920,P-MTAB-90924,P-MTAB-90921,P-MTAB-90922,24013_#43,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,250,5'-3'-3'-5',none,polyA RNA,Smart-seq2,oligo-dT,FACS,ERCC,P-MTAB-90923,WSI Sequencing Facility,24013_#43,sequencing assay,ERX3641397,ERR3649313,cell24013_43,dendritic cell,CD1a+ CD123Int BDCA2+,skin,none,activated dendritic cell,cell24013_43,activated dendritic cell,skin,none,6726,1023119.69842643,CF03YBY3,B7,24013_#43,4375STDY7083796,Single cell B7,CD1a+ CD123Int BDCA2+ cells_Nil,24013,Homo sapiens,House dust mite,1337372,1023960,76.56508436,9.77e-5,0.089522789,2863,6.010282584,Skin,Untreated,NIL,CD1a+ CD123Int BDCA2+ cells,-9.474631567,6.119189362,G2M,cl1,cl6,cl6_subcl2_2,cl1_subcl2_1,DC1,pDC_CD123Int,2795,cell24013_43,1,3448,8842,1229,214,1086,831,8485,4292,567,97,-84,30901,CD1a_p,cell24013,0,0,0,0,3,3,3,3,2,2,2,2,2,3,3,3
24013_#44,ERS3961762,SAMEA6161752,Homo sapiens,adult,normal,dendritic cell,CD1a+ CD123Int BDCA2+,skin,none,activated dendritic cell,CF03YBY3,24013,OK,pass,cell,P-MTAB-90920,P-MTAB-90924,P-MTAB-90921,P-MTAB-90922,24013_#44,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,250,5'-3'-3'-5',none,polyA RNA,Smart-seq2,oligo-dT,FACS,ERCC,P-MTAB-90923,WSI Sequencing Facility,24013_#44,sequencing assay,ERX3641398,ERR3649314,cell24013_44,dendritic cell,CD1a+ CD123Int BDCA2+,skin,none,activated dendritic cell,cell24013_44,activated dendritic cell,skin,none,5459,1180275.38533496,CF03YBY3,B8,24013_#44,4375STDY7083797,Single cell B8,CD1a+ CD123Int BDCA2+ cells_Nil,24013,Homo sapiens,House dust mite,1385212,1180633,85.23121371,0,0.134003363,2343,6.072114958,Skin,Untreated,NIL,CD1a+ CD123Int BDCA2+ cells,-11.66395326,6.814160279,G2M,cl1,cl6,cl6_subcl2_2,cl1_subcl2_1,DC1,pDC_CD123Int,2279,cell24013_44,1,10538,3335,3371,339,474,987,9087,7783,452,236,-265,27839,CD1a_p,cell24013,0,0,0,0,3,3,3,3,2,2,2,2,2,3,3,3
